,State,V,value
0,0,S,goto 1
1,0,m,shift 2
2,1,$,ACC
3,2,K,goto 3
4,2,l,shift 4
5,3,$,reduce S::=mK
6,4,N,goto 5
7,4,M,goto 6
8,4,e,shift 7
9,4,i,shift 8
13,4,w,shift 9
17,4,K,goto 10
21,4,l,shift 11
25,5,r,shift 55
26,6,N,goto 54
27,6,M,goto 6
28,6,e,shift 7
29,6,i,shift 8
33,6,w,shift 9
37,6,K,goto 10
41,6,l,shift 11
45,8,q,shift 27
49,9,a,shift 14
53,10,l,reduce M::=K
54,10,w,reduce M::=K
55,10,i,reduce M::=K
56,10,e,reduce M::=K
57,11,N,goto 12
61,11,M,goto 6
62,11,e,shift 7
63,11,i,shift 8
67,11,w,shift 9
71,11,K,goto 10
75,11,l,shift 11
79,12,r,shift 13
83,13,l,reduce K::=lNr
84,13,w,reduce K::=lNr
85,13,i,reduce K::=lNr
86,13,e,reduce K::=lNr
87,14,B,goto 15
91,14,T,goto 16
94,14,i,shift 17
95,14,n,shift 18
100,15,b,shift 25
104,16,o,shift 19
105,16,p,shift 20
106,16,b,reduce B::=T
107,17,o,reduce T::=i
108,17,p,reduce T::=i
109,17,b,reduce T::=i
110,18,o,reduce T::=n
111,18,p,reduce T::=n
112,18,b,reduce T::=n
113,19,T,goto 24
114,19,i,shift 22
115,19,n,shift 23
116,20,T,goto 21
117,20,i,shift 22
118,20,n,shift 23
119,21,b,reduce B::=TpT
120,22,b,reduce T::=i
121,23,b,reduce T::=n
122,24,b,reduce B::=ToT
123,25,M,goto 26
127,25,i,shift 8
128,25,w,shift 9
129,25,K,goto 10
139,25,l,shift 11
143,26,l,reduce M::=waBbM
144,26,w,reduce M::=waBbM
145,26,i,reduce M::=waBbM
146,26,e,reduce M::=waBbM
147,27,E,goto 28
152,27,F,goto 29
156,27,G,goto 30
161,27,a,shift 31
162,27,T,goto 32
167,27,i,shift 33
168,27,n,shift 34
173,28,z,shift 51
177,28,s,shift 52
179,29,z,reduce E::=F
180,29,s,reduce E::=F
181,29,x,shift 49
184,30,z,reduce F::=G
185,30,s,reduce F::=G
186,30,x,reduce F::=G
187,31,E,goto 35
191,31,F,goto 36
195,31,G,goto 37
200,31,a,shift 38
201,31,T,goto 39
206,31,i,shift 40
207,31,n,shift 41
212,32,z,reduce G::=T
213,32,s,reduce G::=T
214,32,x,reduce G::=T
215,33,z,reduce T::=i
216,33,s,reduce T::=i
217,33,x,reduce T::=i
218,34,z,reduce T::=n
219,34,s,reduce T::=n
220,34,x,reduce T::=n
221,35,b,shift 48
224,35,s,shift 44
226,36,b,reduce E::=F
227,36,s,reduce E::=F
228,36,x,shift 46
231,37,b,reduce F::=G
232,37,s,reduce F::=G
233,37,x,reduce F::=G
234,38,E,goto 42
238,38,F,goto 36
242,38,G,goto 37
247,38,a,shift 38
248,38,T,goto 39
253,38,i,shift 40
254,38,n,shift 41
259,39,b,reduce G::=T
260,39,s,reduce G::=T
261,39,x,reduce G::=T
262,40,b,reduce T::=i
263,40,s,reduce T::=i
264,40,x,reduce T::=i
265,41,b,reduce T::=n
266,41,s,reduce T::=n
267,41,x,reduce T::=n
268,42,b,shift 43
271,42,s,shift 44
273,43,b,reduce G::=aEb
274,43,s,reduce G::=aEb
275,43,x,reduce G::=aEb
276,44,F,goto 45
279,44,G,goto 37
284,44,a,shift 38
285,44,T,goto 39
290,44,i,shift 40
291,44,n,shift 41
296,45,b,reduce E::=EsF
297,45,s,reduce E::=EsF
298,45,x,shift 46
301,46,G,goto 47
304,46,a,shift 38
305,46,T,goto 39
310,46,i,shift 40
311,46,n,shift 41
316,47,b,reduce F::=FxG
317,47,s,reduce F::=FxG
318,47,x,reduce F::=FxG
319,48,z,reduce G::=aEb
320,48,s,reduce G::=aEb
321,48,x,reduce G::=aEb
322,49,G,goto 50
325,49,a,shift 31
326,49,T,goto 32
331,49,i,shift 33
332,49,n,shift 34
337,50,z,reduce F::=FxG
338,50,s,reduce F::=FxG
339,50,x,reduce F::=FxG
340,51,l,reduce M::=iqEz
341,51,w,reduce M::=iqEz
342,51,i,reduce M::=iqEz
343,51,e,reduce M::=iqEz
344,52,F,goto 53
347,52,G,goto 30
352,52,a,shift 31
353,52,T,goto 32
358,52,i,shift 33
359,52,n,shift 34
364,53,z,reduce E::=EsF
365,53,s,reduce E::=EsF
366,53,x,shift 49
369,54,r,reduce N::=MN
370,55,$,reduce K::=lNr
